date	hm	ta
2019-01-03	00:00	-.49
2019-01-03	01:00	-.96
2019-01-03	02:00	-1.25
2019-01-03	03:00	-1.62
2019-01-03	04:00	-2.06
2019-01-03	05:00	-2.03
2019-01-03	06:00	-2.44
2019-01-03	07:00	-2.67
2019-01-03	08:00	-2.84
2019-01-03	09:00	-2.56
2019-01-03	10:00	-1.20
2019-01-03	11:00	.73
2019-01-03	12:00	1.62
2019-01-03	13:00	1.71
2019-01-03	14:00	1.96
2019-01-03	15:00	1.98
2019-01-03	16:00	1.64
2019-01-03	17:00	1.32
2019-01-03	18:00	1.10
2019-01-03	19:00	1.00
2019-01-03	20:00	.56
2019-01-03	21:00	.56
2019-01-03	22:00	.35
2019-01-03	23:00	-.18
2019-01-04	00:00	.10
2019-01-04	01:00	.12
2019-01-04	02:00	.09
2019-01-04	03:00	-.19
2019-01-04	04:00	-.74
2019-01-04	05:00	-1.05
2019-01-04	06:00	-1.25
2019-01-04	07:00	-1.63
2019-01-04	08:00	-1.88
2019-01-04	09:00	-1.47
2019-01-04	10:00	-.26
2019-01-04	11:00	1.29
2019-01-04	12:00	2.00
2019-01-04	13:00	2.75
2019-01-04	14:00	2.92
2019-01-04	15:00	2.69
2019-01-04	16:00	2.15
2019-01-04	17:00	1.23
2019-01-04	18:00	1.05
2019-01-04	19:00	1.11
2019-01-04	20:00	.95
2019-01-04	21:00	.99
2019-01-04	22:00	1.58
2019-01-04	23:00	1.61
2019-01-05	00:00	1.44
2019-01-05	01:00	1.22
2019-01-05	02:00	1.34
2019-01-05	03:00	1.26
2019-01-05	04:00	1.22
2019-01-05	05:00	1.25
2019-01-05	06:00	1.23
2019-01-05	07:00	1.08
2019-01-05	08:00	.64
2019-01-05	09:00	.87
2019-01-05	10:00	1.33
2019-01-05	11:00	1.67
2019-01-05	12:00	1.77
2019-01-05	13:00	1.83
2019-01-05	14:00	1.74
2019-01-05	15:00	2.28
2019-01-05	16:00	2.65
2019-01-05	17:00	2.49
2019-01-05	18:00	2.32
2019-01-05	19:00	2.57
2019-01-05	20:00	2.67
2019-01-05	21:00	2.70
2019-01-05	22:00	2.87
2019-01-05	23:00	3.14
2019-01-06	00:00	3.23
2019-01-06	01:00	3.38
2019-01-06	02:00	3.28
2019-01-06	03:00	3.00
2019-01-06	04:00	3.00
2019-01-06	05:00	3.00
2019-01-06	06:00	3.00
2019-01-06	07:00	2.88
2019-01-06	08:00	2.73
2019-01-06	09:00	2.94
2019-01-06	10:00	3.57
2019-01-06	11:00	4.10
2019-01-06	12:00	3.98
2019-01-06	13:00	3.85
2019-01-06	14:00	3.63
2019-01-06	15:00	3.50
2019-01-06	16:00	3.27
2019-01-06	17:00	3.16
2019-01-06	18:00	2.96
2019-01-06	19:00	2.91
2019-01-06	20:00	2.89
2019-01-06	21:00	2.91
2019-01-06	22:00	2.91
2019-01-06	23:00	2.88
